¡¡ 1	1.521106	1.518971	57.68	57.94
¡ 10	1.571305	1.568885	55.74	56.01
¡ 11	1.554563	1.552482	63.13	63.35
¡ 12	1.562972	1.560681	58.07	58.34
¡ 13	1.561668	1.559485	60.89	61.14
¡ 210	1.572369	1.569983	56.59	56.88
¡ 4	1.532369	1.530278	60.22	60.48
¡ 6	1.542136	1.539980	59.40	59.67
¡ 8	1.548860	1.546782	62.54	62.77
¡ 9	1.567093	1.564682	55.52	55.81
¡‘1	1.527058	1.524782	54.68	54.96
¡‘11	1.625090	1.622302	52.84	53.14
¡‘12	1.629835	1.626040	38.82	39.10
¡‘13	1.642764	1.639614	47.98	48.27
¡‘16	1.674393	1.671022	46.99	47.29
¡‘18	1.563118	1.560502	50.66	50.95
¡‘19	1.592344	1.589601	50.84	51.14
¡‘21	1.617769	1.614131	39.76	40.04
¡‘219	1.592644	1.589906	51.03	51.33
¡‘23	1.551882	1.549389	52.14	52.43
¡‘24	1.638642	1.634551	36.49	36.76
¡‘25	1.610854	1.607722	45.81	46.10
¡‘26	1.654559	1.650549	38.19	38.47
¡‘27	1.610099	1.606822	43.68	43.97
¡‘28	1.668706	1.664264	35.18	35.44
¡‘32	1.582358	1.579410	46.40	46.69
¡‘4	1.550501	1.548083	53.66	53.95
¡‘6	1.572443	1.569704	49.16	49.46
¡‘7	1.582154	1.579593	53.56	53.86
¡‘8	1.585693	1.582714	46.17	46.47
¬510	1.511604	1.509892	69.67	70.54
¬518	1.520038	1.518109	63.78	63.83
¬722	1.726896	1.721853	33.15	33.78
¬735	1.739919	1.734664	32.82	33.10
¬752	1.757755	1.752081	30.68	31.28
¬Ã522	1.523636	1.521547	62.85	63.64
¬Œ54	1.489696	1.488006	67.56	68.40
¬Œ73-1	1.515100	1.513157	63.08	62.84
¬Œ73-2	1.531733	1.529597	58.89	58.92
¬—56	1.721964	1.716639	31.60	31.87
¬—58	1.727131	1.721729	31.37	31.64
¬—80	1.685488	1.682410	52.40	52.62
¬—82	1.760845	1.754442	27.60	27.88
¬—83	1.614295	1.611116	45.34	45.59
¬—92	1.589199	1.585878	41.36	41.78
 1	1.500096	1.498270	64.96	65.14
 100	1.523669	1.521580	59.20	59.49
 14	1.516805	1.514780	60.39	60.62
 15	1.535874	1.533583	55.18	55.47
 17	1.518298	1.516374	63.85	64.06
 18	1.521224	1.519174	60.13	60.37
 19	1.520781	1.518775	61.42	61.67
 2	1.502279	1.500470	65.83	66.03
 20	1.528470	1.526384	59.89	60.15
 208	1.518409	1.516476	63.36	63.60
 3	1.511990	1.510069	63.13	63.36
 5	1.512971	1.511074	64.07	64.28
 515	1.526791	1.524590	56.54	56.83
 8	1.518291	1.516368	63.86	64.07
 ‘1	1.517631	1.515380	54.22	54.49
 ‘100	1.512199	1.510068	56.76	56.86
 ‘4	1.520275	1.518180	58.73	58.96
 ‘5	1.501598	1.499678	61.84	62.07
 ‘6	1.502654	1.500571	56.95	57.21
 ‘7	1.520005	1.517598	50.85	51.14
 ‘8	1.535733	1.533290	51.69	51.97
À 1	1.441387	1.439861	68.58	68.84
À 107	1.485305	1.483568	66.26	66.41
À 115	1.482230	1.480471	65.02	65.19
À 3	1.489121	1.487460	69.86	70.06
À 4	1.492166	1.490368	64.94	65.11
À 5	1.479901	1.478162	65.44	65.60
